timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1649847291494,2035,Home,200,OK,Thread Group 1-3,text,true,,46046,119,12,12,https://lifecharger.org/,1490,0,868
1649847291714,1943,Home,200,OK,Thread Group 1-4,text,true,,46041,119,12,12,https://lifecharger.org/,1411,0,817
1649847291271,2389,Home,200,OK,Thread Group 1-2,text,true,,46046,119,12,12,https://lifecharger.org/,1847,0,1087
1649847291136,2673,Home,200,OK,Thread Group 1-1,text,true,,46041,119,13,13,https://lifecharger.org/,2130,0,1222
1649847291922,1899,Home,200,OK,Thread Group 1-5,text,true,,46041,119,13,13,https://lifecharger.org/,1357,0,835
1649847292365,1854,Home,200,OK,Thread Group 1-7,text,true,,46041,119,15,15,https://lifecharger.org/,1322,0,823
1649847292587,1886,Home,200,OK,Thread Group 1-8,text,true,,46051,119,16,16,https://lifecharger.org/,1343,0,827
1649847292143,2484,Home,200,OK,Thread Group 1-6,text,true,,46041,119,17,17,https://lifecharger.org/,1690,0,1157
1649847292809,1925,Home,200,OK,Thread Group 1-9,text,true,,46041,119,17,17,https://lifecharger.org/,1397,0,810
1649847293531,1601,archive,200,OK,Thread Group 1-3,text,true,,53933,128,19,19,https://lifecharger.org/archives/,1323,0,0
1649847293657,1692,archive,200,OK,Thread Group 1-4,text,true,,53933,128,20,20,https://lifecharger.org/archives/,1424,0,0
1649847293052,2395,Home,200,OK,Thread Group 1-10,text,true,,46041,119,20,20,https://lifecharger.org/,1845,0,839
1649847293660,2554,archive,200,OK,Thread Group 1-2,text,true,,53933,128,24,24,https://lifecharger.org/archives/,2282,0,0
1649847293821,2473,archive,200,OK,Thread Group 1-5,text,true,,53948,128,24,24,https://lifecharger.org/archives/,2199,0,0
1649847293697,2712,Home,200,OK,Thread Group 1-13,text,true,,46041,119,25,25,https://lifecharger.org/,2158,0,847
1649847293253,3283,Home,200,OK,Thread Group 1-11,text,true,,46041,119,25,25,https://lifecharger.org/,2737,0,834
1649847293809,2783,archive,200,OK,Thread Group 1-1,text,true,,53933,128,26,26,https://lifecharger.org/archives/,2192,0,0
1649847293476,3183,Home,200,OK,Thread Group 1-12,text,true,,46041,119,26,26,https://lifecharger.org/,2646,0,832
1649847295350,1650,About,200,OK,Thread Group 1-4,text,true,,32676,125,27,27,https://lifecharger.org/about/,1648,0,0
1649847295132,1874,About,200,OK,Thread Group 1-3,text,true,,32676,125,26,26,https://lifecharger.org/about/,1874,0,0
1649847294141,3326,Home,200,OK,Thread Group 1-15,text,true,,46041,119,27,27,https://lifecharger.org/,2801,0,797
1649847294584,2995,Home,200,OK,Thread Group 1-17,text,true,,46041,119,28,28,https://lifecharger.org/,2435,0,855
1649847294364,4156,Home,200,OK,Thread Group 1-16,text,true,,46041,119,32,32,https://lifecharger.org/,3594,0,841
1649847296294,2972,About,200,OK,Thread Group 1-5,text,true,,32676,125,36,36,https://lifecharger.org/about/,2699,0,0
1649847295030,4396,Home,200,OK,Thread Group 1-19,text,true,,46041,119,35,35,https://lifecharger.org/,3848,0,841
1649847294807,4620,Home,200,OK,Thread Group 1-18,text,true,,46041,119,35,35,https://lifecharger.org/,4079,0,836
1649847294219,5280,archive,200,OK,Thread Group 1-7,text,true,,53933,128,36,36,https://lifecharger.org/archives/,4729,0,0
1649847294627,5125,archive,200,OK,Thread Group 1-6,text,true,,53933,128,37,37,https://lifecharger.org/archives/,4321,0,0
1649847293920,5888,Home,200,OK,Thread Group 1-14,text,true,,46041,119,37,37,https://lifecharger.org/,5023,0,1171
1649847296214,3825,About,200,OK,Thread Group 1-2,text,true,,32676,125,38,38,https://lifecharger.org/about/,2770,0,0
1649847295251,5212,Home,200,OK,Thread Group 1-20,text,true,,46041,119,39,39,https://lifecharger.org/,4663,0,829
1649847295696,4782,Home,200,OK,Thread Group 1-22,text,true,,46041,119,39,39,https://lifecharger.org/,4229,0,845
1649847295474,5018,Home,200,OK,Thread Group 1-21,text,true,,46041,119,39,39,https://lifecharger.org/,4473,0,831
1649847295917,4617,Home,200,OK,Thread Group 1-23,text,true,,46041,119,39,39,https://lifecharger.org/,4060,0,842
1649847296592,4581,About,200,OK,Thread Group 1-1,text,true,,32676,125,41,41,https://lifecharger.org/about/,4289,0,0
1649847294473,6721,archive,200,OK,Thread Group 1-8,text,true,,53933,128,40,40,https://lifecharger.org/archives/,6447,0,0
1649847294735,6533,archive,200,OK,Thread Group 1-9,text,true,,53933,128,40,40,https://lifecharger.org/archives/,6267,0,0
1649847297249,4216,Home,200,OK,Thread Group 1-29,text,true,,46046,119,40,40,https://lifecharger.org/,3681,0,809
1649847296361,5155,Home,200,OK,Thread Group 1-25,text,true,,46041,119,40,40,https://lifecharger.org/,4615,0,846
1649847296583,4988,Home,200,OK,Thread Group 1-26,text,true,,46041,119,40,40,https://lifecharger.org/,4433,0,849
1649847295447,6132,archive,200,OK,Thread Group 1-10,text,true,,53933,128,40,40,https://lifecharger.org/archives/,5579,0,0
1649847296137,5691,Home,200,OK,Thread Group 1-24,text,true,,46041,119,40,40,https://lifecharger.org/,4933,0,814
1649847297026,5343,Home,200,OK,Thread Group 1-28,text,true,,46041,119,40,40,https://lifecharger.org/,4818,0,825
1649847297915,4687,Home,200,OK,Thread Group 1-32,text,true,,46041,119,40,40,https://lifecharger.org/,4415,0,838
1649847297470,5133,Home,200,OK,Thread Group 1-30,text,true,,46041,119,40,40,https://lifecharger.org/,4600,0,836
1649847299498,3629,About,200,OK,Thread Group 1-7,text,true,,32681,125,40,40,https://lifecharger.org/about/,3364,0,0
1649847298579,4830,Home,200,OK,Thread Group 1-35,text,true,,46046,119,39,39,https://lifecharger.org/,4286,0,829
1649847296535,6875,archive,200,OK,Thread Group 1-11,text,true,,53933,128,39,39,https://lifecharger.org/archives/,6327,0,0
1649847299751,3670,About,200,OK,Thread Group 1-6,text,true,,32676,125,39,39,https://lifecharger.org/about/,3140,0,0
1649847296805,6677,Home,200,OK,Thread Group 1-27,text,true,,46041,119,38,38,https://lifecharger.org/,6137,0,832
1649847297692,5826,Home,200,OK,Thread Group 1-31,text,true,,46041,119,38,38,https://lifecharger.org/,5268,0,834
1649847298137,5603,Home,200,OK,Thread Group 1-33,text,true,,46041,119,38,38,https://lifecharger.org/,4792,0,1180
1649847296409,7774,archive,200,OK,Thread Group 1-13,text,true,,53933,128,38,38,https://lifecharger.org/archives/,7489,0,0
1649847298803,5686,Home,200,OK,Thread Group 1-36,text,true,,46041,119,38,38,https://lifecharger.org/,5151,0,819
